objID,plate,mjd,fiberID,class,subClass,redshift,redshiftError,velocityDispersion,velocityDispersionError,spectrum_fits_url
7.21388E+18,6407,56311,882,QSO,AGN BROADLINE,0.4542523,2.74E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6407/spec-6407-56311-0882.fits
1.20699E+19,10720,58250,893,QSO,AGN BROADLINE,0.5393384,0.000149862,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/10720/spec-10720-58250-0893.fits
2.99604E+17,266,51630,418,GALAXY,AGN,0.1515293,3.17E-05,203.6277,12.15238,
2.9961E+17,266,51630,439,GALAXY,AGN,0.123279,1.45E-05,136.1078,13.67372,
6.52358E+18,5794,56282,407,QSO,AGN BROADLINE,0.5473663,6.81E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5794/spec-5794-56282-0407.fits
6.52359E+18,5794,56282,443,GALAXY,AGN,0.5530739,7.95E-05,261.7034,33.37138,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5794/spec-5794-56282-0443.fits
1.68667E+18,1498,52914,252,GALAXY,AGN,0.2651068,1.40E-05,147.9149,28.27213,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1498/spec-1498-52914-0252.fits
3.01813E+17,268,51633,262,GALAXY,AGN,0.1248814,1.84E-05,117.539,8.562856,
3.01815E+17,268,51633,267,GALAXY,AGN,0.08885787,1.20E-05,99.07137,6.131033,
9.95471E+17,884,52374,640,GALAXY,AGN,0.05579736,6.76E-06,109.3966,8.81633,
9.96424E+17,885,52379,10,GALAXY,AGN,0.1046325,1.91E-05,199.4301,10.83582,
2.72251E+18,2418,53794,307,GALAXY,AGN,0.04616253,9.05E-06,131.6329,4.464543,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2418/spec-2418-53794-0307.fits
2.37578E+18,2110,53467,473,GALAXY,AGN,0.02387846,7.96E-06,106.9561,3.629754,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2110/spec-2110-53467-0473.fits
1.35117E+18,1200,52668,332,GALAXY,AGN,0.1728695,2.37E-05,182.049,10.9462,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1200/spec-1200-52668-0332.fits
1.35119E+18,1200,52668,400,GALAXY,AGN,0.02446708,7.19E-06,179.5796,3.480109,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1200/spec-1200-52668-0400.fits
1.00547E+18,893,52589,168,GALAXY,AGN,0.06025895,9.00E-06,134.0018,3.939014,
1.00549E+18,893,52589,225,GALAXY,AGN,0.08147766,1.65E-05,108.9341,8.23387,
1.00549E+18,893,52589,228,GALAXY,AGN,0.08086415,8.15E-06,175.6769,7.982806,
2.0289E+18,1802,53885,112,GALAXY,AGN,0.07312933,1.07E-05,158.6354,5.837725,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1802/spec-1802-53885-0112.fits
1.41021E+19,12525,58932,637,QSO,AGN,0.2014794,2.64E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/12525/spec-12525-58932-0637.fits
2.37468E+18,2109,53468,585,GALAXY,AGN,0.1143499,9.60E-06,133.0695,11.18642,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2109/spec-2109-53468-0585.fits
2.37469E+18,2109,53468,593,GALAXY,AGN,0.1108069,1.17E-05,102.0857,12.14074,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2109/spec-2109-53468-0593.fits
3.1305E+17,278,51900,181,GALAXY,AGN,0.02872861,1.32E-05,44.88142,6.456141,
3.13055E+17,278,51900,198,GALAXY,AGN,0.06551905,1.33E-05,141.8662,7.792233,
3.13055E+17,278,51900,200,GALAXY,AGN,0.09145387,1.49E-05,113.0092,8.180986,
3.13062E+17,278,51900,225,GALAXY,AGN,0.1827813,1.16E-05,165.1083,11.37624,
3.13063E+17,278,51900,229,GALAXY,AGN BROADLINE,0.1569634,1.93E-05,157.3426,7.621943,
3.13069E+17,278,51900,250,GALAXY,AGN BROADLINE,0.1016816,1.49E-05,231.7311,6.684971,
3.1307E+17,278,51900,254,GALAXY,AGN,0.1128998,1.87E-05,239.1891,8.792802,
1.35234E+18,1201,52674,492,GALAXY,AGN,0.1145447,7.73E-06,121.2767,7.734592,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1201/spec-1201-52674-0492.fits
1.35235E+18,1201,52674,511,GALAXY,AGN,0.2367403,2.90E-05,198.2385,15.45948,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1201/spec-1201-52674-0511.fits
5.48554E+18,4872,55944,580,GALAXY,AGN,0.4503392,4.51E-05,173.5225,31.90602,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4872/spec-4872-55944-0580.fits
9.93065E+17,882,52370,77,GALAXY,AGN,0.06071632,1.33E-05,170.085,6.03722,
9.93066E+17,882,52370,80,GALAXY,AGN,0.08259372,2.66E-05,87.4118,9.432922,
