objID,plate,mjd,fiberID,class,subClass,redshift,redshiftError,velocityDispersion,velocityDispersionError,spectrum_fits_url
1.33876E+18,1189,52668,244,GALAXY,STARBURST,0.2023192,8.40E-06,128.7291,15.84294,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1189/spec-1189-52668-0244.fits
1.33876E+18,1189,52668,250,GALAXY,STARBURST,0.0315683,6.92E-06,84.55431,47.35677,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1189/spec-1189-52668-0250.fits
1.33877E+18,1189,52668,264,GALAXY,STARBURST,0.1149182,6.13E-06,120.7329,14.98274,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1189/spec-1189-52668-0264.fits
1.33878E+18,1189,52668,299,GALAXY,STARBURST,0.05116078,6.48E-06,101.2882,12.31352,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/1189/spec-1189-52668-0299.fits
5.83219E+18,5180,55947,94,GALAXY,STARBURST,0.08586359,6.42E-06,57.43541,44.76948,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5180/spec-5180-55947-0094.fits
2.72253E+18,2418,53794,385,GALAXY,STARBURST,0.2026657,6.58E-06,47.87621,55.73864,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2418/spec-2418-53794-0385.fits
2.72253E+18,2418,53794,390,GALAXY,STARBURST,0.06616052,6.39E-06,185.5657,11.18403,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2418/spec-2418-53794-0390.fits
2.72254E+18,2418,53794,412,GALAXY,STARBURST,0.1349785,6.28E-06,78.09716,18.73043,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2418/spec-2418-53794-0412.fits
1.03257E+19,9171,58068,90,GALAXY,STARBURST,0.1201392,1.31E-05,147.2122,60.8889,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/9171/spec-9171-58068-0090.fits
1.03257E+19,9171,58068,108,GALAXY,STARBURST,0.3243219,1.52E-05,83.06921,46.98775,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/9171/spec-9171-58068-0108.fits
8.60432E+18,7642,57651,692,GALAXY,STARBURST,0.3197667,1.05E-05,38.37895,47.73462,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0692.fits
2.38701E+18,2120,53852,357,GALAXY,STARBURST,0.1173664,4.59E-06,107.2694,10.01699,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2120/spec-2120-53852-0357.fits
2.38702E+18,2120,53852,390,GALAXY,STARBURST,0.08231053,7.22E-06,57.78144,16.34313,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/2120/spec-2120-53852-0390.fits
