objID,plate,mjd,fiberID,class,subClass,redshift,redshiftError,velocityDispersion,velocityDispersionError,spectrum_fits_url
1.03325E+19,9177,58044,439,QSO,BROADLINE,2.366276,0.000411747,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/9177/spec-9177-58044-0439.fits
1.03325E+19,9177,58044,440,QSO,BROADLINE,1.827472,0.000563892,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/9177/spec-9177-58044-0440.fits
8.60432E+18,7642,57651,688,QSO,BROADLINE,1.648488,0.000571072,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0688.fits
8.60432E+18,7642,57651,695,QSO,BROADLINE,0.6883019,0.000154987,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0695.fits
8.60432E+18,7642,57651,696,QSO,BROADLINE,1.269548,0.000261939,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0696.fits
8.60432E+18,7642,57651,698,QSO,BROADLINE,2.370052,0.000781893,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0698.fits
8.60432E+18,7642,57651,699,QSO,BROADLINE,0.6876386,0.000117533,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0699.fits
8.60432E+18,7642,57651,700,QSO,,0.8137297,0.000116696,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0700.fits
8.60432E+18,7642,57651,701,QSO,,1.151682,0.001055468,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0701.fits
8.60432E+18,7642,57651,702,QSO,,0.6153692,0.000380667,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0702.fits
8.60432E+18,7642,57651,704,QSO,,1.52956,0.001037473,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0704.fits
8.60432E+18,7642,57651,706,QSO,BROADLINE,0.668159,0.000135913,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0706.fits
8.60432E+18,7642,57651,708,QSO,BROADLINE,0.863754,8.47E-05,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0708.fits
8.60432E+18,7642,57651,709,QSO,BROADLINE,1.821487,0.000317555,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0709.fits
8.60432E+18,7642,57651,710,QSO,BROADLINE,1.487726,0.000509313,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0710.fits
8.60433E+18,7642,57651,720,QSO,BROADLINE,2.049139,0.000252588,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0720.fits
8.60433E+18,7642,57651,722,QSO,BROADLINE,1.03992,0.000187218,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0722.fits
8.60433E+18,7642,57651,723,QSO,BROADLINE,1.737291,0.001056887,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0723.fits
8.60433E+18,7642,57651,724,QSO,BROADLINE,1.302171,0.000541426,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0724.fits
8.60433E+18,7642,57651,728,QSO,BROADLINE,1.867867,0.000177521,0,0,https://data.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7642/spec-7642-57651-0728.fits
